,strategy_ret,strategy_nav,bench_ret,bench_nav
2020-02-04,0.02867503276371193,1.028675032763712,0.0,1.0
2020-02-05,0.0059762455036550316,1.0348226473029882,0.0027593818984548157,1.0027593818984548
2020-02-06,0.015548782718854444,1.0509128797984522,0.015960374243258135,1.0187637969094923
2020-02-07,-0.014525917474668597,1.0356474060334335,-0.011917659804983716,1.0066225165562914
2020-02-10,-0.0032161574875708065,1.0323166008740359,-0.002192982456140413,1.0044150110375276
2020-02-11,0.009803713517312322,1.0424371370881707,0.008241758241758212,1.0126931567328918
2020-02-12,0.012066955781894166,1.055016179926818,0.009809264305177257,1.022626931567329
2020-02-13,0.0012523653249598198,1.05633744560783,0.0016189962223420729,1.024282560706402
2020-02-14,0.002533079769244988,1.059013232620795,0.001616379310344973,1.025938189845475
2020-02-17,-0.007343355930648797,1.0512365215183936,-0.006993006993007089,1.0187637969094925
2020-02-18,-0.024455047069132894,1.0255284829038698,-0.013542795232936111,1.0049668874172186
2020-02-19,0.013686072457116618,1.039563940027729,0.011532125205930832,1.0165562913907287
2020-02-20,-0.0028583673581305297,1.0365924843948642,-0.004343105320303908,1.0121412803532013
2020-02-21,-0.0011426239215120845,1.035408049025335,-0.004907306434024039,1.0071743929359827
2020-02-24,-0.016783465742134223,1.0180303135053883,-0.012602739726027434,0.9944812362030908
2020-02-25,0.005128936440521877,1.023251726277882,0.002774694783573839,0.9972406181015456
2020-02-26,-0.01227126236492376,1.010695135879365,-0.009961261759822815,0.9873068432671086
2020-02-27,-0.012379642510931613,0.998183091409641,-0.008943543879262106,0.9784768211920535
2020-03-02,-0.015223487403563406,0.9829872636911163,-0.014664410603496991,0.9641280353200887
2020-03-03,0.021627894425753795,1.0042472084520884,0.01431024613623344,0.9779249448123624
2020-03-04,0.007560713123327476,1.011840033500097,0.006772009029345494,0.9845474613686539
2020-03-05,0.010377329743533762,1.0223402311754357,0.011210762331838486,0.9955849889624728
2020-03-06,-0.022105286619806912,0.999741107342343,-0.020509977827051107,0.9751655629139075
2020-03-09,-0.032355643040325954,0.9673938409404339,-0.028296547821165863,0.94757174392936
2020-03-10,0.004439678695476364,0.9716887587661922,0.005241700640652436,0.9525386313465787
2020-03-11,-0.014661114941608317,0.9574427181864524,-0.011587485515643148,0.9415011037527596
2020-03-12,-0.037682462449965454,0.9213639189103986,-0.03692848769050405,0.9067328918322298
2020-03-13,-0.0173446167724833,0.9053832148289043,-0.013998782714546576,0.894039735099338
2020-03-16,-0.05160790548950953,0.8586582834462259,-0.04567901234567906,0.8532008830022076
2020-03-17,-0.029656310433423583,0.833193646836114,-0.0316946959896508,0.826158940397351
2020-03-18,-0.02981157474618978,0.8083548321554087,-0.0273881095524382,0.8035320088300222
2020-03-19,-0.04821004472317243,0.7693840095450039,-0.058379120879120894,0.7566225165562914
2020-03-20,0.08140438700671145,0.8320152432147807,0.07950401167031362,0.8167770419426049
2020-03-23,-0.04883517129232746,0.7913836362945593,-0.043243243243243246,0.7814569536423842
2020-03-24,0.05309005790023676,0.8333982393667373,0.048728813559322015,0.8195364238410597
2020-03-25,0.04136609368863136,0.8678726690163221,0.035016835016834946,0.848233995584989
2020-03-26,0.015127942882837449,0.8810017971827767,0.00455432661027988,0.8520971302428257
2020-03-27,-0.018339272137476464,0.864844865470636,-0.00777202072538874,0.8454746136865342
2020-03-30,-0.016211048975057585,0.8508248230006644,-0.009791122715404721,0.83719646799117
2020-03-31,0.020487313273985987,0.8682559376907627,0.0039551746868822235,0.8405077262693159
2020-04-01,-0.00816298672852989,0.8611683759944257,-0.0032829940906106136,0.8377483443708612
2020-04-06,0.01927732164102182,0.8777693957655467,0.015151515151515138,0.850441501103753
2020-04-07,0.02320301007667832,0.8981362879004945,0.018818948734588004,0.8664459161147906
2020-04-08,0.009298878410813812,0.9064879480380209,0.014012738853503182,0.8785871964679914
2020-04-09,-0.007266042563482918,0.8999013680242923,-0.0043969849246230375,0.8747240618101548
2020-04-10,-0.009724098855357945,0.8911506381615523,0.0006309148264984632,0.8752759381898458
2020-04-13,-0.005942238958390815,0.8858552081216738,-0.006305170239596425,0.8697571743929364
2020-04-14,0.025357847797179464,0.9083185896595619,0.027284263959390875,0.8934878587196473
2020-04-15,0.009211857122576413,0.9166858907292859,0.0030883261272389717,0.896247240618102
2020-04-16,-0.00509193477525181,0.9120181859642987,-0.0049261083743843415,0.8918322295805743
2020-04-17,0.053472606022573,0.9607861751077894,0.030321782178217793,0.9188741721854308
