stock_id,name,industry,market_cap,price,roic_3y,roic_latest,by_year
5314,世紀*,半導體業,31289958400.0,26.0,81.65,140.88,"{'2021': -17.6, '2022': -1.7, '2023': 18.4, '2024': 85.7, '2025': 140.9}"
7822,倍利科,電子工業,41824780288.0,918.0,57.01,57.01,{'2025': 57.0}
5274,信驊,半導體業,638298292224.0,15350.0,45.98,59.47,"{'2021': 40.1, '2022': 52.4, '2023': 24.2, '2024': 54.3, '2025': 59.5}"
6757,台灣虎航-創,創新版股票,25641773056.0,55.8,43.04,32.71,"{'2021': -40.0, '2022': -67.8, '2023': 50.9, '2024': 45.5, '2025': 32.7}"
6139,亞翔,電子工業,179508903936.0,762.0,42.55,52.59,"{'2021': 3.5, '2022': 13.3, '2023': 33.0, '2024': 42.1, '2025': 52.6}"
6409,旭隼,其他電子業,87811735552.0,995.0,38.84,34.09,"{'2021': 42.7, '2022': 59.6, '2023': 39.7, '2024': 42.8, '2025': 34.1}"
2731,雄獅,觀光事業,13665226752.0,146.5,36.91,36.26,"{'2021': -18.3, '2022': -33.6, '2023': 51.0, '2024': 23.5, '2025': 36.3}"
5904,寶雅*,居家生活類,79300648960.0,74.5,35.03,34.47,"{'2021': 27.8, '2022': 29.2, '2023': 35.5, '2024': 35.1, '2025': 34.5}"
5536,聖暉*,其他電子類,109191217152.0,880.0,34.57,38.23,"{'2021': 25.2, '2022': 33.9, '2023': 29.8, '2024': 35.7, '2025': 38.2}"
8454,富邦媒,貿易百貨,66376306688.0,250.5,33.76,30.44,"{'2021': 41.7, '2022': 37.0, '2023': 36.5, '2024': 34.4, '2025': 30.4}"
2707,晶華,觀光事業,23314749440.0,183.0,32.14,33.15,"{'2021': 54.8, '2022': 22.1, '2023': 34.2, '2024': 29.1, '2025': 33.1}"
6561,是方,通信網路業,24972990464.0,324.5,29.35,32.68,"{'2021': 22.7, '2022': 26.2, '2023': 26.6, '2024': 28.7, '2025': 32.7}"
6613,朋億*,其他電子類,19644751872.0,252.5,29.11,25.59,"{'2021': 25.3, '2022': 30.3, '2023': 29.1, '2024': 32.7, '2025': 25.6}"
2727,王品,觀光事業,19679039488.0,237.5,28.72,27.31,"{'2021': -5.4, '2022': 8.6, '2023': 33.5, '2024': 25.4, '2025': 27.3}"
5903,全家,貿易百貨,41518919680.0,186.0,25.5,15.87,"{'2021': 21.3, '2022': 26.2, '2023': 20.5, '2024': 40.1, '2025': 15.9}"
