date,n,top5
2021-07-01,92,"[{'id': '2330', 'w': 0.6335, 'roic': 27.4}, {'id': '2454', 'w': 0.0483, 'roic': 16.6}, {'id': '2308', 'w': 0.0312, 'roic': 17.9}, {'id': '2615', 'w': 0.02, 'roic': 33.7}, {'id': '6488', 'w': 0.0153, 'roic': 31.8}]"
2021-08-02,92,"[{'id': '2330', 'w': 0.6362, 'roic': 27.4}, {'id': '2454', 'w': 0.0496, 'roic': 16.6}, {'id': '2308', 'w': 0.0309, 'roic': 17.9}, {'id': '1216', 'w': 0.0153, 'roic': 18.9}, {'id': '6488', 'w': 0.015, 'roic': 31.8}]"
2021-09-01,106,"[{'id': '2330', 'w': 0.5593, 'roic': 26.3}, {'id': '2454', 'w': 0.0417, 'roic': 23.0}, {'id': '6505', 'w': 0.0312, 'roic': 17.8}, {'id': '2308', 'w': 0.0248, 'roic': 18.6}, {'id': '2303', 'w': 0.0235, 'roic': 15.0}]"
2021-10-01,106,"[{'id': '2330', 'w': 0.5545, 'roic': 26.3}, {'id': '2454', 'w': 0.0421, 'roic': 23.0}, {'id': '6505', 'w': 0.0329, 'roic': 17.8}, {'id': '2303', 'w': 0.0242, 'roic': 15.0}, {'id': '1301', 'w': 0.0241, 'roic': 15.5}]"
2021-11-01,106,"[{'id': '2330', 'w': 0.5525, 'roic': 26.3}, {'id': '2454', 'w': 0.0426, 'roic': 23.0}, {'id': '6505', 'w': 0.0335, 'roic': 17.8}, {'id': '2308', 'w': 0.024, 'roic': 18.6}, {'id': '1301', 'w': 0.0227, 'roic': 15.5}]"
2021-12-01,108,"[{'id': '2330', 'w': 0.5436, 'roic': 25.2}, {'id': '2454', 'w': 0.0476, 'roic': 26.2}, {'id': '6505', 'w': 0.0309, 'roic': 15.2}, {'id': '2303', 'w': 0.0243, 'roic': 17.3}, {'id': '2308', 'w': 0.0232, 'roic': 15.6}]"
2022-01-03,107,"[{'id': '2330', 'w': 0.5466, 'roic': 25.2}, {'id': '2454', 'w': 0.0489, 'roic': 26.2}, {'id': '6505', 'w': 0.0291, 'roic': 15.2}, {'id': '2308', 'w': 0.0242, 'roic': 15.6}, {'id': '2303', 'w': 0.022, 'roic': 17.3}]"
2022-02-07,108,"[{'id': '2330', 'w': 0.5622, 'roic': 25.2}, {'id': '2454', 'w': 0.0478, 'roic': 26.2}, {'id': '6505', 'w': 0.0303, 'roic': 15.2}, {'id': '2308', 'w': 0.0238, 'roic': 15.6}, {'id': '1303', 'w': 0.0219, 'roic': 18.1}]"
2022-03-01,109,"[{'id': '2330', 'w': 0.5648, 'roic': 24.4}, {'id': '2454', 'w': 0.0505, 'roic': 27.8}, {'id': '1303', 'w': 0.0233, 'roic': 18.6}, {'id': '1301', 'w': 0.0228, 'roic': 17.5}, {'id': '2303', 'w': 0.0202, 'roic': 19.0}]"
2022-04-01,108,"[{'id': '2330', 'w': 0.5715, 'roic': 24.4}, {'id': '2454', 'w': 0.0426, 'roic': 27.8}, {'id': '1303', 'w': 0.025, 'roic': 18.6}, {'id': '1301', 'w': 0.0233, 'roic': 17.5}, {'id': '2002', 'w': 0.0208, 'roic': 15.6}]"
