,strategy_ret,strategy_nav,bench_ret,bench_nav
2020-02-04,0.0286750327637119,1.028675032763712,0.0,1.0
2020-02-05,0.005976245503655,1.0348226473029882,0.0027592367524789108,1.002759236752479
2020-02-06,0.0155487827188544,1.0509128797984522,0.01596055889656922,1.0187638346097456
2020-02-07,-0.0145259174746685,1.0356474060334335,-0.01191788052852083,1.006622328942089
2020-02-10,-0.0032161574875708,1.032316600874036,-0.002192887471829219,1.0044149194480885
2020-02-11,0.0098037135173123,1.0424371370881709,0.008241925580424914,1.012693232466048
2020-02-12,0.0120669557818941,1.055016179926818,0.009809283280391545,1.0226270272594429
2020-02-13,0.0012523653249598,1.05633744560783,0.001618950205099834,1.024282609494965
2020-02-14,0.0025330797692449,1.059013232620795,0.001616235363257168,1.0259380912704001
2020-02-17,-0.0073433559306487,1.0512365215183936,-0.0069928748349432635,1.0187638346097456
2020-02-18,-0.0244550470691328,1.0255284829038698,-0.013542772637085143,1.0049669476267409
2020-02-19,0.0136860724571166,1.039563940027729,0.011532097703596866,1.016556324655658
2020-02-20,-0.0028583673581305,1.0365924843948642,-0.0043431139043583755,1.0121413047474825
2020-02-21,-0.001142623921512,1.035408049025335,-0.0049073658030190925,1.0071743571207417
2020-02-24,-0.0167834657421342,1.0180303135053883,-0.01260271562338755,0.9944812251147808
2020-02-25,0.0051289364405218,1.023251726277882,0.002774649880642688,0.9972405623273469
2020-02-26,-0.0122712623649237,1.010695135879365,-0.009961282331127252,0.9873067675339521
2020-02-27,-0.0123796425109316,0.998183091409641,-0.008943257279745098,0.9784770290978625
2020-03-02,-0.0152234874035634,0.9829872636911164,-0.014664744960912524,0.964127913016031
2020-03-03,0.0216278944257537,1.0042472084520884,0.014310224604787924,0.9779247999990358
2020-03-04,0.0075607131233274,1.011840033500097,0.0067721263663185205,0.984547430321386
2020-03-05,0.0103773297435337,1.0223402311754357,0.011210683173230818,0.9955848796317376
2020-03-06,-0.0221052866198069,0.999741107342343,-0.020509970835255187,0.9751654627864697
2020-03-09,-0.0323556430403259,0.967393840940434,-0.028296710598564312,0.9475714879002859
2020-03-10,0.0044396786954763,0.9716887587661922,0.0052417655978096445,0.9525384355270269
2020-03-11,-0.0146611149416083,0.9574427181864524,-0.01158719478240322,0.9415011871368496
2020-03-12,-0.0376824624499654,0.9213639189103986,-0.036928611967720903,0.9067328551299243
2020-03-13,-0.0173446167724833,0.9053832148289044,-0.013998866804301735,0.8940396226638763
2020-03-16,-0.0516079054895095,0.8586582834462259,-0.045678660402759697,0.8532010903536016
2020-03-17,-0.0296563104334235,0.833193646836114,-0.03169486971290025,0.8261589929559398
2020-03-18,-0.0298115747461897,0.8083548321554087,-0.027387980439832038,0.8035321666166712
2020-03-19,-0.0482100447231724,0.7693840095450039,-0.058379351733942375,0.7566224796322197
2020-03-20,0.0814043870067114,0.8320152432147807,0.07950397612822724,0.8167769751909798
2020-03-23,-0.0488351712923274,0.7913836362945593,-0.04324314916812444,0.7814569666157067
2020-03-24,0.0530900579002367,0.8333982393667373,0.04872891065636842,0.8195365133237202
2020-03-25,0.0413660936886313,0.8678726690163221,0.035016778967745354,0.8482340422667737
2020-03-26,0.0151279428828374,0.8810017971827767,0.004554157858601915,0.8520970339962965
2020-03-27,-0.0183392721374764,0.864844865470636,-0.007771683526398343,0.8454748055142947
2020-03-30,-0.0162110489750575,0.8508248230006644,-0.00979149662899137,0.8371963418062043
2020-03-31,0.0204873132739859,0.8682559376907627,0.00395548321939021,0.8405078578875536
2020-04-01,-0.0081629867285298,0.8611683759944257,-0.003283119695789871,0.8377483699848568
2020-04-06,0.0192773216410218,0.8777693957655467,0.015151545130710264,0.8504415522208613
2020-04-07,0.0232030100766783,0.8981362879004945,0.018818926351021226,0.8664459491579538
2020-04-08,0.0092988784108138,0.9064879480380208,0.014012766473525451,0.8785872539054363
2020-04-09,-0.0072660425634829,0.8999013680242923,-0.004397050642977907,0.8747240612557392
2020-04-10,-0.0097240988553579,0.8911506381615523,0.0006308586706602615,0.8752758885142176
2020-04-13,-0.0059422389583908,0.8858552081216738,-0.006305298041140772,0.8697570131689111
2020-04-14,0.0253578477971794,0.908318589659562,0.027284497092022963,0.8934878958654848
2020-04-15,0.0092118571225764,0.916685890729286,0.0030882759859809372,0.8962472330780509
2020-04-16,-0.0050919347752518,0.9120181859642988,-0.004926230403076826,0.8918321127097883
2020-04-17,0.053472606022573,0.9607861751077894,0.030321903396651972,0.9188741598774066
2020-04-20,-0.0042722032258561,0.956681501311136,-0.003003063741635059,0.9161147222047534
2020-04-21,-0.0293292501689306,0.9286227502271936,-0.0289153939203598,0.889624904135962
2020-04-22,-0.0007276844513608,0.9279470058906732,0.0,0.889624904135962
2020-04-23,0.0059836156740198,0.9334994841397805,0.0037218652440640376,0.8929359681469194
2020-04-24,-0.0044989096204853,0.929299754329866,0.0,0.8929359681469194
2020-04-27,0.0171337895595609,0.9452221807583054,0.020395535112080587,0.9111478750380996
2020-04-28,8.62033222545019e-05,0.9453036620505554,0.0,0.9111478750380996
2020-04-29,0.011969915146277,0.9566188666727656,0.013931034482758564,0.9238411075041475
2020-04-30,0.0197532967501104,0.9755152430229068,0.02150541843766174,0.9437086970909371
2020-05-04,-0.0309125669695281,0.9453595627431658,-0.029239928561901052,0.9161147222047533
2020-05-05,0.0041007718173252,0.949236266595302,0.004819177490634763,0.9205296416528416
2020-05-06,0.0030023454924988,0.9520862018216308,0.0011993707832405054,0.9216336980101468
2020-05-07,0.0062779088845832,0.958063312246936,0.0041913520282255146,0.9254965892795827
2020-05-08,0.0038791605509362,0.9617797936531036,0.005963150387839233,0.9310154646248892
2020-05-11,0.0111260669577711,0.9724806200359192,0.008298771752862422,0.9387417494641963
2020-05-12,-0.0174706175435196,0.9554907830547869,-0.011757812813522506,0.9277041996937576
2020-05-13,0.0070470760894648,0.9622241993057562,0.0029744800913524827,0.9304636373664108
2020-05-14,-0.0140501048178593,0.9487048484472296,-0.011862419257650303,0.9194260875959721
2020-05-15,0.0124036091396119,0.9604722125762236,0.00660249014630776,0.9254965892795828
2020-05-18,-0.0203554618914901,0.9409213570552932,-0.008348258576859058,0.9177703044402757
2020-05-19,0.0081614925103848,0.9486006796637608,0.00902002710036287,0.9260486174582353
2020-05-20,0.0085273372580696,0.956689717582488,-0.0011921144056649124,0.9249446615610173
2020-05-21,0.0121630559682698,0.968325988161712,0.008353457326237601,0.9326711473204985
2020-05-22,-0.0198907291226546,0.9490652782287604,-0.018343392398769587,0.9155627944861879
2020-05-25,0.0044747778496938,0.953312134513692,0.006630788800637166,0.921633698010147
2020-05-26,0.0130341541022562,0.9657377517824944,0.011376994085977366,0.932119119141846
2020-05-27,0.000942875522688,0.966648322269986,-0.001184027335447091,0.9310154646248892
2020-05-28,-0.0067565114180445,0.9601171518433352,-0.00592780201296661,0.9254965892795827
2020-05-29,-0.0033717081131803,0.9568799170528614,0.007155650208736208,0.9321191191418458
2020-06-01,0.0152424367868661,0.9714650987011614,0.0053285541135843495,0.9370859663084996
2020-06-02,0.0009772404649521,0.972414453705901,0.004711649717413557,0.9415011871368493
2020-06-03,0.0162334593322483,0.9882001041942262,0.017584814508659008,0.958057310872333
2020-06-04,0.0125290295895918,1.0005812925401134,0.009216609190436653,0.966887350688684
2020-06-05,0.0131136476510287,1.0137025630566954,0.00856160967654529,0.9751654627864695
2020-06-08,0.0197382804072066,1.0337113084958125,0.013016284959071811,0.9878584943323434
2020-06-09,0.003764386719332,1.0376025976171377,0.0011174226303303225,0.9889623497694744
2020-06-10,0.0119336830528064,1.049985018151869,0.009486779751717078,0.998344417764478
2020-06-11,-0.0083544649610833,1.041212955108057,-0.015478396356831126,0.9828916471656897
2020-06-12,-0.0113781175058956,1.0293659117561764,-0.008983430128388425,0.9740619087296001
2020-06-15,-0.017180836786133,1.0116805440330845,-0.014164487677352566,0.9602648208264212
2020-06-16,0.0196375282204593,1.031547449266624,0.021839021537515046,0.9812360649301675
2020-06-17,-0.0005403834881245,1.030990018057823,0.0011250665733495424,0.9823400208273855
2020-06-18,0.006036257563299,1.0372133393520104,-0.0011238022210356968,0.9812360649301674
2020-06-19,-0.0002398957057886,1.0369645163259131,-0.0005622773337734532,0.980684338131776
2020-06-22,-0.0053162787911333,1.0314517238606118,0.0022507844248012,0.9828916471656896
2020-06-23,0.0066044239959309,1.038263868376321,0.00449197058596873,0.9873067675339522
2020-06-24,0.0071788751084892,1.0457174350170515,0.006148750118413426,0.9933774701377369
2020-06-29,-0.0154309557755167,1.0295810155236167,-0.009999817966319768,0.9834438762645163
2020-06-30,0.0056173279233028,1.03536450971142,0.008978385700695313,0.992273614700606
2020-07-01,0.0155996228148364,1.0515158055387863,0.006674298988022187,0.9988963454830434
2020-07-02,0.0150469831567254,1.067337946153759,0.011049543729111377,1.009933694333308
2020-07-03,0.0184661832587144,1.0870476042664143,0.011475781959048525,1.0215234732025733
2020-07-06,0.026001078873044,1.115312014763699,0.01728778552406851,1.039183351915101
2020-07-07,-0.0007288648243038,1.1144991030680145,0.003717237446420718,1.0430462431845369
2020-07-08,0.0067538891209993,1.122026306435589,0.006878465924014199,1.0502208012254528
2020-07-09,0.0110402197295834,1.134413723401011,0.0031529226304296554,1.0535320661565846
2020-07-10,-0.0021728494621006,1.1319488131523197,-0.00838155858771239,1.0447018254200595
2020-07-13,0.0152318863808767,1.149190528863224,0.014791464667430754,1.0601544955587607
2020-07-14,0.0157440424397934,1.167283433321055,0.006246948732643753,1.066777226341198
2020-07-15,-0.0008985836914325,1.1662345314645937,0.004138463850735796,1.0711920453291994
2020-07-16,-0.0116445357974046,1.1526542717147847,-0.009788835305192922,1.060706322817239
2020-07-17,0.0158811158567523,1.1709597077466678,0.01144643383970334,1.0728476275647216
2020-07-20,-0.0003246629019954,1.1705795405698312,-0.0015431662362718201,1.0711920453291994
2020-07-21,0.0365180336787721,1.213326803656042,0.024390168418197744,1.0973185997230124
2020-07-22,0.00353111305371,1.2176111977708484,0.002532928203977436,1.1000980289529998
2020-07-23,-0.0054624262504193,1.2109600864013403,-0.0010105384199109446,1.0989863376290745
2020-07-24,0.0010397236436013,1.2122191502346291,-0.003540645065986392,1.0950952170751616
2020-07-27,0.0708139413420968,1.298061166033111,0.048730923302044094,1.1484602181068866
2020-07-28,0.0153837295192186,1.318030187910766,0.0029040400174773495,1.1517953925387499
2020-07-29,-0.0188966995166226,1.2931237674959786,-0.010135013733728604,1.1401219304169243
2020-07-30,0.0228975489760913,1.3227331322943656,0.0146269223272808,1.1567984053367621
2020-07-31,-0.0134529876126513,1.304938419850766,-0.002402691097398546,1.1540189761067747
2020-08-03,-0.0194512656773297,1.279555715953694,-0.017341006245311097,1.1340071258348996
2020-08-04,0.0219912911331085,1.307694798224265,0.012745151192366855,1.1484602181068868
2020-08-05,0.0097497793155274,1.3204445339190147,0.009680454128562666,1.1595778345667496
2020-08-06,0.0127685386231726,1.3373046809501168,0.010546518171875574,1.171807343270712
2020-08-07,-0.0063163156433022,1.3288578424739703,-0.007115835378515123,1.1634689551206623
2020-08-10,0.0026944447389441,1.332438376496429,0.009078000467128033,1.1740309268387366
2020-08-11,-0.0136804103360579,1.3142100727584467,-0.007575723218700925,1.1651367934868113
2020-08-12,-0.0194824866952566,1.288605992501158,-0.01479004108205828,1.1479043724449238
2020-08-13,0.0193735751762212,1.3135708975694085,0.009685054144446426,1.1590218884446997
2020-08-14,-0.0014010609988933,1.3117305046155423,0.002398255095847901,1.1618015185948614
2020-08-17,0.0155202504223578,1.3320888905338215,0.010526245703884163,1.1740309268387366
2020-08-18,-0.0073426463486727,1.322307832905636,-0.0056818351982849125,1.167360276594749
2020-08-19,-0.0097503349800163,1.3094148885881065,-0.007142943200340146,1.1590218884446994
2020-08-20,-0.0320494017490218,1.2674489247675955,-0.03501197610707263,1.1184422417788995
2020-08-21,0.0230113193437601,1.2966145967273282,0.021868824776344553,1.1429012591868242
2020-08-24,0.009942810955604,1.3095065905448648,0.00291842867904224,1.1462367349989484
2020-08-25,0.0111741547185947,1.3241392197926325,0.007759420964582153,1.1551308683508734
2020-08-26,0.0122360023329233,1.3403413903751304,0.003849751000269075,1.159577834566749
2020-08-27,0.0020646600183461,1.3431087396547727,0.002397018645249549,1.1623573642568235
2020-08-28,-0.0153581506553474,1.322481073284641,-0.010043092942817577,1.1506837012148237
2020-08-31,-0.0181242569697228,1.2985120864748354,-0.016425155694824056,1.1317835422668738
2020-09-01,0.0163698411216524,1.3197685230249738,0.01522589823790188,1.1490159633087613
2020-09-02,-0.0011456946676211,1.31825647126565,-0.0033863059852833333,1.1451250436750229
2020-09-03,0.0058156241355623,1.3259229554168035,0.0029124980283021795,1.148460218106886
2020-09-04,-0.0161605844182461,1.3044952655636997,-0.0072604062017117554,1.1401219304169234
2020-09-07,-0.0105756511152,1.2906993787536676,-0.001462683421382227,1.1384542929709482
2020-09-08,0.0105357588284379,1.304297876128231,0.005859480477399037,1.1451250436750227
2020-09-09,-0.0098524332172922,1.2914473684082213,-0.006796150403822976,1.137342601647023
2020-09-10,0.0154080755822673,1.3113460870711755,0.008797370063503118,1.1473482254026992
2020-09-11,0.0021252776279323,1.3141330615725044,0.0004847238440002233,1.1479043724449232
2020-09-14,0.0120488305134952,1.329966828103572,0.01259076292314898,1.1623573642568232
2020-09-15,0.0072501677030787,1.3396093106468543,0.0038258167002871435,1.1668043304726987
2020-09-16,0.0224192148879021,1.3696422996480808,0.015245459036664633,1.1845927980967232
2020-09-17,-0.0125343067254524,1.3524747829601378,-0.01079312219908346,1.171807343270711
2020-09-18,-0.0055456456957291,1.3449744370014327,-0.0009486980349708851,1.1706956519467857
2020-09-21,-0.0089833455717981,1.3328920668486142,-0.008072363110287473,1.1612453715526365
2020-09-22,-0.0083775277043991,1.321725726631616,-0.012924603982379157,1.146236734998948
2020-09-23,-0.0056193833317559,1.3142984431142293,-0.0014550557622381444,1.1445688966327987
2020-09-24,-0.0260779130368143,1.280024282610276,-0.024283546339198492,1.1167747047930108
2020-09-25,0.0003021139193564,1.2804109957631666,0.0019910762291459605,1.1189982883610357
2020-09-28,0.0186128200441427,1.304243055209848,0.016393513266991233,1.1373426016470227
2020-09-29,-0.0010165242951669,1.3029172604574244,0.0024437040922193898,1.140121930416923
2020-09-30,0.0053151580554213,1.3098424716298922,0.0043882264910648505,1.1451250436750224
2020-10-05,-0.0008296710614927,1.3087557332360666,0.00048522625966263,1.145680688416811
2020-10-06,0.0149697117959628,1.3283474293739246,0.011644780402403132,1.1590218884446988
2020-10-07,0.0059751766876187,1.336284539966978,0.005275918516360001,1.1651367934868107
2020-10-08,0.0190750099704969,1.3617741808902692,0.013358674468811671,1.180701476622636
2020-10-12,0.0091073521609039,1.3741763379192635,0.008003783903960615,1.1901515560966107
2020-10-13,0.0020826370152091,1.3770382484260388,0.0004670377139073256,1.1907074017585733
2020-10-14,-0.0049059973528523,1.3702825024244842,-0.003734726272220712,1.1862604355426978
2020-10-15,-0.0104996414350284,1.3558950274843335,-0.009372070910266705,1.1751427186227477
2020-10-16,-0.008192536161997,1.3447868084397965,-0.004257366121347195,1.1701397058247354
2020-10-19,0.0180050731803523,1.3689997933377271,0.012826448789888145,1.185148442838511
2020-10-20,-0.0092508037492539,1.3563354449167906,-0.005628366103943128,1.1784779935146978
2020-10-21,0.002876129954041,1.3602364419176436,-0.0004717492605794682,1.1779220473926482
2020-10-22,0.0037172158204116,1.3652927343390404,0.0014157451672345278,1.1795896848386234
2020-10-23,-0.0052006983560297,1.358192258660064,0.0,1.1795896848386234
2020-10-26,-0.0034472445265415,1.353510237830407,0.0,1.1795896848386234
2020-10-27,-0.0058690083443678,1.3455664749503928,-0.005655144996446038,1.172918934134549
2020-10-28,-0.005742377396207,1.3378397244395437,-0.004739166005451434,1.1673602765947482
2020-10-29,-0.0146342402032832,1.318261456558601,-0.010952449798367292,1.154574821768736
2020-10-30,-0.0109824769706645,1.3037836804706315,-0.008184638981852288,1.1451250436750224
2020-11-02,0.0053395556921053,1.3107453060429626,0.0038833891900607043,1.149572009890898
2020-11-03,0.0132861977540178,1.3281601273842,0.011605537394154375,1.1629134108389598
2020-11-04,0.0167914081533332,1.3504618061760911,0.014818231883118926,1.1801457314207602
2020-11-05,0.0037114654448663,1.3554739985043256,-0.0009420800791051231,1.1790339396367477
2020-11-06,0.0045250384639717,1.3616075704844712,0.006129166992577373,1.1862604355426978
2020-11-09,0.0134511484306907,1.37992275601941,0.013120882337099848,1.2018252191386103
2020-11-10,-0.0148629635953799,1.3594130143322571,-0.009250777236980978,1.1907074017585733
2020-11-11,0.0109852725155451,1.3743465367558756,0.015406146630823958,1.2090516145844732
2020-11-12,0.0007708457129571,1.3754059458918513,0.0004598200071390668,1.2096075607065229
2020-11-13,0.0079840416884232,1.3863872443023568,0.004135979718085547,1.214610473044448
2020-11-16,0.039411329222652,1.4410266084176424,0.03249433148962355,1.2540784283863229
2020-11-17,0.0022120471272456,1.444214227187077,0.007092246872834718,1.2629726621983353
2020-11-18,0.0206318822696889,1.4740110850946109,0.006602112571026497,1.2713109498882977
2020-11-19,-0.0101337014769679,1.4590738967845205,-0.0017490477591026732,1.2690873663202729
2020-11-20,-0.0035071886315966,1.4539566494010585,-0.0013139654764060538,1.267419829334385
2020-11-23,0.0152332266141234,1.4761051005284964,0.012719091152429751,1.283540257672086
2020-11-24,-0.00797953916496,1.464326462067232,-0.004763858106749508,1.2774256540102356
2020-11-25,-0.010715140599903,1.4486359981420232,-0.008268090768985492,1.2668637827522482
2020-11-26,0.0061668869011483,1.4575695725034972,0.007898185481472808,1.2768697078881857
2020-11-27,0.0011515544485942,1.4592480432288493,-0.0017413547319680145,1.274646224780248
2020-11-30,-0.0158675915761799,1.4360932912705542,-0.011774983240183001,1.259637286846298
2020-12-01,0.0185988047133112,1.4628029099449915,0.008826285118916699,1.2707552046864221
2020-12-02,0.0150388881823369,1.4848018393404512,0.00962381161915471,1.2829847133903847
2020-12-03,-0.0025252540332436,1.4810523375070892,0.0,1.2829847133903847
