,A_baseline_cap,B_cap_max10,C_equal_weight,D_mom_filter_cap10,E_trend_ma200_cap10,F_ex_cyclical_cap10,G_roic_stable_cap10,H_quality_value_eq,I_roic_mom_score_top40,J_combo_stable_mom_cap10,K_roic_mom_top20,L_top20_halfcash_ma200,0050
2020-02-04,1.028675032763712,1.0232019665751773,1.0193773186572084,1.0232019665751773,1.0232019665751773,1.0233228757791872,1.0232019665751773,1.0211505542947648,1.0194201573303614,1.0233228757791872,1.0251038848111373,1.0251038848111373,1.0
2020-02-05,1.0348226473029882,1.0264077926852697,1.019429953937876,1.0264077926852697,1.0264077926852697,1.02654687617412,1.0264077926852697,1.0161262903218105,1.0215270459978119,1.02654687617412,1.0320194373348097,1.0320194373348097,1.002759236475286
2020-02-06,1.0509128797984522,1.0432731052154467,1.0416606212344595,1.0432731052154467,1.0432731052154467,1.043421960482136,1.0432731052154467,1.0383709834238422,1.043940759386151,1.043421960482136,1.047769044910427,1.047769044910427,1.0187638327247297
2020-02-07,1.0356474060334335,1.0264040105813395,1.024089359629086,1.0264040105813395,1.0264040105813395,1.0265532163154052,1.0264040105813395,1.0213207518909377,1.0289345852340446,1.0265532163154052,1.0415179976801305,1.0415179976801305,1.0066223282768096
2020-02-10,1.0323166008740359,1.0199410266496045,1.014913124627174,1.0199410266496045,1.0199410266496045,1.0200946502238175,1.0199410266496045,1.011662212727861,1.0186614519764958,1.0200946502238175,1.0318924088635841,1.0318924088635841,1.0044147180844116
2020-02-11,1.0424371370881707,1.0262615641056523,1.0281415586233698,1.0262615641056523,1.0262615641056523,1.0264118347279954,1.0262615641056523,1.0236015143098172,1.0312874682170265,1.0264118347279954,1.047781420116753,1.047781420116753,1.0126931307308085
2020-02-12,1.055016179926818,1.0407787657036938,1.044038419845669,1.0407787657036938,1.0407787657036938,1.0409781967176386,1.0407787657036938,1.0420594466285036,1.0456383343137576,1.0409781967176386,1.0581575189063268,1.0581575189063268,1.0226269245262536
2020-02-13,1.05633744560783,1.0445761195996233,1.0426250265458765,1.0445761195996233,1.0445761195996233,1.0448308453754316,1.0445761195996233,1.040336795257201,1.045341711078016,1.0448308453754316,1.0561025368553516,1.0561025368553516,1.0242824061353788
2020-02-14,1.059013232620795,1.052017509690045,1.0562775217789304,1.052017509690045,1.052017509690045,1.0523265100962795,1.052017509690045,1.056627284777999,1.058989423100744,1.0523265100962795,1.0759835000609235,1.0759835000609235,1.025938088664658
2020-02-17,1.0512365215183936,1.0497073623956434,1.053357004608211,1.0497073623956434,1.0497073623956434,1.0499781571141489,1.0497073623956434,1.0543417945479563,1.0578861962090407,1.0499781571141489,1.07119683470633,1.07119683470633,1.01876383272473
2020-02-18,1.0255284829038698,1.032536691828132,1.0432660513336884,1.032536691828132,1.032536691828132,1.0327360528626353,1.032536691828132,1.0460015750048108,1.0451909845599554,1.0327360528626353,1.0586001501139495,1.0586001501139495,1.0049668466676844
2020-02-19,1.039563940027729,1.0459201187490286,1.0573451343415032,1.0459201187490286,1.0459201187490286,1.0461913019394282,1.0459201187490286,1.0642320011722193,1.0554214490158993,1.0461913019394282,1.0715205945736017,1.0715205945736017,1.016556222532332
2020-02-20,1.0365924843948642,1.043457349980345,1.0585251748758162,1.043457349980345,1.043457349980345,1.0437182527627615,1.043457349980345,1.0653968827961915,1.0558080135181314,1.0437182527627615,1.076168230068876,1.076168230068876,1.0121412030676897
2020-02-21,1.035408049025335,1.0426194571689518,1.0537002906314537,1.0426194571689518,1.0426194571689518,1.042892362608167,1.0426194571689518,1.0598772681028723,1.0513785686502672,1.042892362608167,1.070989905139292,1.070989905139292,1.0071742559399288
2020-02-24,1.0180303135053883,1.0228611197288142,1.0362022294790305,1.0228611197288142,1.0228611197288142,1.0230459422733102,1.0228611197288142,1.046393121194373,1.0309791905972108,1.0230459422733102,1.0516857130748125,1.0516857130748125,0.9944810247490439
2020-02-25,1.023251726277882,1.0260896785103935,1.0380262361078263,1.0260896785103935,1.0260896785103935,1.0262902090955803,1.0260896785103935,1.046843637263278,1.0319078387949987,1.0262902090955803,1.05202332142138,1.05202332142138,0.9972403616844068
2020-02-26,1.010695135879365,1.0108893440234166,1.0246419200446766,1.0108893440234166,1.0108893440234166,1.0109954241256982,1.0108893440234166,1.0370005803046007,1.0194481839458045,1.0109954241256982,1.0346639156832884,1.0346639156832884,0.9873066683490388
2020-02-27,0.998183091409641,0.9908461432423953,0.9995031675866382,0.9908461432423953,0.9908461432423953,0.9908135135521715,0.9908461432423953,1.0114341170247525,0.9956338130993617,0.9908135135521715,1.008081851399502,1.008081851399502,0.9784766294197543
2020-03-02,0.9829872636911163,0.976700088463205,0.9910982345473367,0.976700088463205,0.976700088463205,0.9766581735102222,0.976700088463205,1.0059151611119763,0.9850974581745819,0.9766581735102222,0.9970039142972443,0.9970039142972443,0.9641279166197441
2020-03-03,1.0042472084520884,0.9982823802650539,1.0135703183102998,0.9982823802650539,0.9982823802650539,0.9984206086609464,0.9982823802650539,1.031194949969791,1.0082218143656307,0.9984206086609464,1.024657811463872,1.024657811463872,0.9779248022167125
2020-03-04,1.011840033500097,1.0026876431906737,1.0112697299824824,1.0026876431906737,1.0026876431906737,1.002973313458539,1.0026876431906737,1.0240316914881855,1.0079177879786885,1.002973313458539,1.0218315979078836,1.0218315979078836,0.9845473314136758
2020-03-05,1.0223402311754357,1.0182890730114322,1.0276142064757317,1.0182890730114322,1.0182890730114322,1.0186960659643698,1.0182890730114322,1.0384318389443943,1.0252725022143205,1.0186960659643698,1.0476965841305592,1.0476965841305592,0.9955849805353584
2020-03-06,0.999741107342343,1.0008171227430465,1.0186197817854932,1.0008171227430465,1.0008171227430465,1.0012958280146784,1.0008171227430465,1.033329297721784,1.0179580200667047,1.0012958280146784,1.0407371047329632,1.0407371047329632,0.9751653648212726
2020-03-09,0.9673938409404339,0.9639411503740176,0.9821213731269474,0.9639411503740176,0.9639411503740176,0.9642663487824114,0.9639411503740176,0.9965460130812258,0.9813712330234026,0.9642663487824114,1.0067123872846266,1.0067123872846266,0.9475714931672586
2020-03-10,0.9716887587661922,0.9666402953820562,0.9834485012467776,0.9666402953820562,0.9666402953820562,0.9671354955799231,0.9666402953820562,1.0014621254649798,0.9824181494523173,0.9671354955799231,1.0073337479973696,1.0073337479973696,0.9525386412151737
2020-03-11,0.9574427181864524,0.9561350305945125,0.9707148960955974,0.9561350305945125,0.9561350305945125,0.9567029593096437,0.9561350305945125,0.9914115460707864,0.9673738984365428,0.9567029593096437,0.9902802392735673,0.9902802392735673,0.9415010925535682
2020-03-12,0.9213639189103986,0.8999588935054473,0.9133493169157004,0.8999588935054473,0.8999588935054473,0.9003552432211387,0.8999588935054473,0.9329161380765001,0.9104268085592675,0.9003552432211387,0.9394212761319013,0.9394212761319013,0.9067328644995492
2020-03-13,0.9053832148289043,0.8758085905816239,0.8759552712540599,0.8758085905816239,0.8758085905816239,0.8762466936847295,0.8758085905816239,0.8885039885079058,0.8780734695139025,0.8762466936847295,0.9113494396194083,0.9113494396194082,0.8940395328485872
2020-03-16,0.8586582834462259,0.822511742799244,0.8282010637962838,0.822511742799244,0.822511742799244,0.8225378321501959,0.822511742799244,0.8497532049779107,0.8267317350794033,0.8225378321501959,0.858175652791386,0.8581756527913859,0.8532008037208006
2020-03-17,0.833193646836114,0.7988216421003638,0.7997720691859896,0.7988216421003638,0.7988216421003638,0.7989426006922516,0.7988216421003638,0.8190379383474893,0.8007364604588584,0.7989426006922516,0.8277141779378766,0.8277141779378765,0.826158809499867
2020-03-18,0.8083548321554087,0.7752955589623258,0.7806189424797781,0.7752955589623258,0.7752955589623258,0.7754842772436915,0.7752955589623258,0.8036441638903625,0.7840268590470945,0.7754842772436915,0.8119372860996203,0.8119372860996202,0.8035320356637295
2020-03-19,0.7693840095450039,0.7211863390268914,0.7177578277073607,0.7211863390268914,0.7211863390268914,0.7216104369132474,0.7211863390268914,0.7370087395634174,0.7210915247530914,0.7216104369132474,0.74461223971082,0.7446122397108199,0.7566225040819444
2020-03-20,0.8320152432147807,0.7682539440894087,0.7617599519580975,0.7682539440894087,0.7682539440894087,0.7685856121478374,0.7682539440894087,0.7879122631260876,0.7631275639935936,0.7685856121478374,0.7889163536855561,0.7889163536855561,0.8167770940576562
2020-03-23,0.7913836362945593,0.741096551192001,0.7383108122995464,0.741096551192001,0.741096551192001,0.7413269564076829,0.741096551192001,0.7640825000706588,0.7365837658698002,0.7413269564076829,0.7666053027464117,0.7666053027464117,0.7814568378804414
2020-03-24,0.8333982393667373,0.7864679537059387,0.7802744938207161,0.7864679537059387,0.7864679537059387,0.787103466542622,0.7864679537059387,0.8070434678644314,0.7775207914478078,0.787103466542622,0.8077722562415609,0.8077722562415609,0.8195362300728651
2020-03-25,0.8678726690163221,0.8279625019773886,0.8222058515824593,0.8279625019773886,0.8279625019773886,0.8288235234999135,0.8279625019773886,0.8476297526046056,0.8193117775724242,0.8288235234999135,0.8466209904862166,0.8466209904862166,0.8482337561329626
2020-03-26,0.8810017971827767,0.8475191722726659,0.8372299609861035,0.8475191722726659,0.8475191722726659,0.8491139675151264,0.8475191722726659,0.860819404564941,0.8357209624854912,0.8491139675151264,0.8646178960391775,0.8646178960391775,0.8520972497747942
2020-03-27,0.864844865470636,0.8442995507814057,0.8429880698335395,0.8442995507814057,0.8442995507814057,0.8457261472325973,0.8442995507814057,0.8634075102710954,0.843185424550513,0.8457261472325973,0.8717250593462216,0.8717250593462216,0.8454745196576767
2020-03-30,0.8508248230006644,0.837795332370158,0.8411424050555038,0.837795332370158,0.837795332370158,0.839277327636537,0.837795332370158,0.8644764823873239,0.8411202825495748,0.839277327636537,0.869002974570814,0.869002974570814,0.8371963079314341
2020-03-31,0.8682559376907627,0.8485783538323517,0.8465981944882616,0.8485783538323517,0.8485783538323517,0.8501810060819402,0.8485783538323517,0.867934260443368,0.8473031114636446,0.8501810060819402,0.8764374607407711,0.8764374607407711,0.8405077734500698
2020-04-01,0.8611683759944257,0.8437388932818954,0.8501210701635283,0.8437388932818954,0.8437388932818954,0.8449421943088071,0.8437388932818954,0.8739641522703526,0.8508030555160112,0.8449421943088071,0.8827809614507504,0.8827809614507504,0.8377482858245914
2020-04-06,0.8777693957655467,0.8679399473269774,0.8681086732789447,0.8679399473269774,0.8679399473269774,0.8694896008034688,0.8679399473269774,0.8862276183725483,0.8730263087210889,0.8694896008034688,0.9016899497360961,0.9016899497360961,0.8504412658652838
2020-04-07,0.8981362879004945,0.8811792091116687,0.8887645182134571,0.8811792091116687,0.8811792091116687,0.8828505583477992,0.8811792091116687,0.9123361014642173,0.8916891446936579,0.8828505583477992,0.9200481523642446,0.9200481523642446,0.8664458621147273
2020-04-08,0.9064879480380209,0.8933641893397498,0.9051220300926051,0.8933641893397498,0.8933641893397498,0.8949417034539925,0.8933641893397498,0.9342328449021291,0.9056385627961133,0.8949417034539925,0.932604946070093,0.932604946070093,0.8785871656424934
2020-04-09,0.8999013680242923,0.8876034107606365,0.9037043806859455,0.8876034107606365,0.8876034107606365,0.8889001356655744,0.8876034107606365,0.9371791042952959,0.9023268584406586,0.8889001356655744,0.926023312806192,0.926023312806192,0.8747239733808929
2020-04-10,0.8911506381615523,0.884832924796685,0.9061235115323271,0.884832924796685,0.884832924796685,0.8859262522904553,0.884832924796685,0.9386281974685847,0.9055569093059381,0.8859262522904553,0.9294525216144166,0.9294525216144166,0.8752759010440118
