stock_id,name,industry,market_cap,price,roic_3y,roic_latest,by_year
6189,豐藝,電子工業,12690030592.0,48.1,18.0,12.8,"{'2021': 16.9, '2022': 17.0, '2023': 16.8, '2024': 24.4, '2025': 12.8}"
5289,宜鼎,電腦及週邊設備業,150324117504.0,1560.0,17.91,23.66,"{'2021': 28.9, '2022': 28.0, '2023': 15.5, '2024': 14.5, '2025': 23.7}"
5288,豐祥-KY,電機機械,13312455680.0,191.0,17.86,13.79,"{'2021': 19.5, '2022': 22.8, '2023': 20.0, '2024': 19.8, '2025': 13.8}"
5234,達興材料,電子工業,31071590400.0,302.5,17.84,21.21,"{'2021': 21.5, '2022': 13.1, '2023': 15.8, '2024': 16.5, '2025': 21.2}"
2753,八方雲集,觀光事業,12529259520.0,188.0,17.5,19.64,"{'2021': 17.2, '2022': 20.2, '2023': 16.0, '2024': 16.9, '2025': 19.6}"
4536,拓凱,其他,15621040128.0,172.0,17.22,14.42,"{'2021': 16.9, '2022': 36.1, '2023': 18.2, '2024': 19.1, '2025': 14.4}"
7805,威聯通,數位雲端類,26950500352.0,678.0,17.14,17.14,{'2025': 17.1}
3450,聯鈞,其他電子業,80270229504.0,551.0,17.12,23.36,"{'2021': 19.1, '2022': 15.0, '2023': 3.2, '2024': 24.8, '2025': 23.4}"
5609,中菲行,航運業,11175073792.0,79.4,17.07,18.07,"{'2021': 66.6, '2022': 49.3, '2023': 17.2, '2024': 16.0, '2025': 18.1}"
4979,華星光,通信網路業,82141151232.0,577.0,17.03,17.28,"{'2021': -16.9, '2022': 16.4, '2023': 18.9, '2024': 14.9, '2025': 17.3}"
4967,十銓,電子工業,26698860544.0,276.0,16.95,24.6,"{'2021': -3.7, '2022': 0.0, '2023': 10.1, '2024': 16.2, '2025': 24.6}"
6187,萬潤,半導體業,116350943232.0,1195.0,16.91,20.72,"{'2021': 25.7, '2022': 17.8, '2023': 4.2, '2024': 25.8, '2025': 20.7}"
6491,晶碩,生技醫療業,28584480768.0,372.0,16.89,13.99,"{'2021': 24.4, '2022': 24.9, '2023': 19.7, '2024': 17.0, '2025': 14.0}"
6196,帆宣,電子工業,108071641088.0,490.5,16.74,19.78,"{'2021': 18.1, '2022': 23.5, '2023': 18.0, '2024': 12.4, '2025': 19.8}"
3131,弘塑,其他電子類,65047289856.0,2310.0,16.74,19.76,"{'2021': 20.1, '2022': 20.0, '2023': 14.5, '2024': 16.0, '2025': 19.8}"
7828,創新服務,半導體業,65195196416.0,1610.0,16.7,16.7,{'2025': 16.7}
6803,崑鼎,其他,19763240960.0,271.5,16.62,16.13,"{'2021': 15.5, '2022': 16.5, '2023': 16.8, '2024': 16.9, '2025': 16.1}"
8478,東哥遊艇,運動休閒,13438034944.0,143.0,16.14,9.94,"{'2021': 23.1, '2022': 33.5, '2023': 29.1, '2024': 9.4, '2025': 9.9}"
6469,大樹,生技醫療業,11221257216.0,70.6,16.14,13.74,"{'2021': 23.8, '2022': 24.6, '2023': 17.0, '2024': 17.7, '2025': 13.7}"
6206,飛捷,電子工業,19814086656.0,138.5,16.06,18.72,"{'2021': 15.8, '2022': 21.8, '2023': 9.9, '2024': 19.6, '2025': 18.7}"
6176,瑞儀,光電業,20995792896.0,81.3,15.73,11.59,"{'2021': 17.3, '2022': 20.8, '2023': 15.5, '2024': 20.1, '2025': 11.6}"
5222,全訊,電子工業,10721552384.0,107.0,15.44,9.06,"{'2021': 17.2, '2022': 12.5, '2023': 20.5, '2024': 16.8, '2025': 9.1}"
6290,良維,電子零組件業,35880976384.0,211.5,15.18,18.69,"{'2021': 9.6, '2022': 14.9, '2023': 11.0, '2024': 15.9, '2025': 18.7}"
6177,達麗,建材營造,22414204928.0,47.5,15.12,12.86,"{'2021': 13.8, '2022': 9.6, '2023': 16.5, '2024': 16.0, '2025': 12.9}"
6245,立端,通信網路業,11933891584.0,81.4,15.1,10.42,"{'2021': 12.7, '2022': 23.1, '2023': 19.8, '2024': 15.1, '2025': 10.4}"
6279,胡連,電子零組件業,15234048000.0,128.0,15.09,14.48,"{'2021': 16.6, '2022': 19.0, '2023': 14.3, '2024': 16.5, '2025': 14.5}"
7786,東方風能,綠能環保,21466388480.0,122.0,15.04,15.04,{'2025': 15.0}
6525,捷敏-KY,電子工業,17808486400.0,138.0,15.03,16.46,"{'2021': 21.5, '2022': 22.0, '2023': 13.3, '2024': 15.3, '2025': 16.5}"
6024,群益期,金融保險,16801054720.0,63.0,15.03,14.64,"{'2021': 7.7, '2022': 12.0, '2023': 14.5, '2024': 16.0, '2025': 14.6}"
