stock_id,name,industry,market_cap,price
8016,矽創,電子工業,34812559360.0,296.0
8016,矽創,半導體業,34812559360.0,296.0
8070,長華*,電子通路業,34371424256.0,48.8
8070,長華*,電子通路業,34371424256.0,48.8
5469,瀚宇博,電子零組件業,34355886080.0,70.7
5469,瀚宇博,電子零組件業,34355886080.0,70.7
5371,中光電,光電業,33375647744.0,83.5
5314,世紀*,半導體業,31289958400.0,26.0
5314,世紀*,其他,31289958400.0,26.0
6412,群電,電子工業,31259992064.0,78.0
6412,群電,電子零組件業,31259992064.0,78.0
6023,元大期,金融業,31185088512.0,82.8
5234,達興材料,電子工業,31071590400.0,302.5
5234,達興材料,電子工業,31071590400.0,302.5
8033,雷虎,其他,30538823680.0,185.5
6491,晶碩,生技醫療業,28584480768.0,372.0
6491,晶碩,生技醫療業,28584480768.0,372.0
7805,威聯通,數位雲端類,26950500352.0,678.0
4967,十銓,電子工業,26698860544.0,276.0
4967,十銓,電子工業,26698860544.0,276.0
9914,美利達,其他,26250797056.0,87.8
6166,凌華,電腦及週邊設備業,25815345152.0,118.5
6166,凌華,電腦及週邊設備業,25815345152.0,118.5
6757,台灣虎航-創,創新版股票,25641773056.0,55.8
5534,長虹,建材營造,25352212480.0,80.4
01003T,兆豐新光R1,受益證券,25029498880.0,22.15
6561,是方,通信網路業,24972990464.0,324.5
4971,IET-KY,半導體業,23511617536.0,588.0
6605,帝寶,汽車工業,23463020544.0,141.5
2707,晶華,觀光事業,23314749440.0,183.0
5388,中磊,電子工業,23258193920.0,77.6
5388,中磊,電子工業,23258193920.0,77.6
7827,漢康-KY創,生技醫療業,22476462080.0,161.0
7827,漢康-KY創,生技醫療業,22476462080.0,161.0
7827,漢康-KY創,生技醫療業,22476462080.0,161.0
6456,GIS-KY,電子工業,22454403072.0,68.0
6456,GIS-KY,光電業,22454403072.0,68.0
6177,達麗,建材營造,22414204928.0,47.5
5439,高技,電子零組件業,22267693056.0,239.5
5475,德宏,電子零組件業,22183663616.0,174.5
8081,致新,半導體業,22021558272.0,257.0
5425,台半,半導體業,21831739392.0,88.2
7768,頌勝科技,電子工業,21720150016.0,310.0
7768,頌勝科技,電子工業,21720150016.0,310.0
7786,東方風能,綠能環保,21466388480.0,122.0
5530,龍巖,其他,21214242816.0,50.5
6138,茂達,半導體業,21009807360.0,282.5
6176,瑞儀,光電業,20995792896.0,81.3
6176,瑞儀,光電業,20995792896.0,81.3
5607,遠雄港,航運業,20713908224.0,55.9
6291,沛亨,半導體業,20202000384.0,388.5
6269,台郡,電子零組件業,20001134592.0,62.4
6269,台郡,電子零組件業,20001134592.0,62.4
4961,天鈺,電子工業,19878998016.0,166.0
4961,天鈺,電子工業,19878998016.0,166.0
7788,松川精密,電子零組件業,19816878080.0,248.5
7788,松川精密,電子零組件業,19816878080.0,248.5
6206,飛捷,電子工業,19814086656.0,138.5
6206,飛捷,電子工業,19814086656.0,138.5
6803,崑鼎,其他,19763240960.0,271.5
2727,王品,觀光事業,19679039488.0,237.5
6613,朋億*,其他電子類,19644751872.0,252.5
6146,耕興,其他電子類,19507568640.0,191.5
6449,鈺邦,電子工業,19449608192.0,214.0
6449,鈺邦,電子零組件業,19449608192.0,214.0
5009,榮剛,鋼鐵工業,19288375296.0,35.2
6188,廣明,電腦及週邊設備業,18928412672.0,68.0
01002T,土銀國泰R1,受益證券,18610479104.0,13.36
6579,研揚,電子工業,18600376320.0,148.0
6579,研揚,電子工業,18600376320.0,148.0
6547,高端疫苗,生技醫療業,18311319552.0,55.7
9911,櫻花,其他,18266361856.0,83.0
8027,鈦昇,電機機械,18084700160.0,168.5
8064,東捷,光電業,18056701952.0,97.7
6525,捷敏-KY,電子工業,17808486400.0,138.0
6525,捷敏-KY,電子工業,17808486400.0,138.0
5284,jpp-KY,其他,17692372992.0,334.5
5864,致和證,金融業,17304025088.0,34.3
6217,中探針,電子零組件業,17102552064.0,150.0
2704,國賓,觀光事業,17061935104.0,46.5
9937,全國,油電燃氣業,17028269056.0,55.1
5443,均豪,半導體業,16913189888.0,105.0
5443,均豪,光電業,16913189888.0,105.0
6024,群益期,金融保險,16801054720.0,63.0
5007,三星,鋼鐵工業,16634616832.0,56.4
9930,中聯資源,其他,15931413504.0,64.1
4536,拓凱,其他,15621040128.0,172.0
9940,信義,其他,15510628352.0,21.05
5213,亞昕,建材營造,15442162688.0,21.45
5340,建榮,電子零組件業,15318665216.0,78.6
6589,台康生技,生技醫療業,15261089792.0,51.2
6589,台康生技,化學生技醫療,15261089792.0,51.2
6279,胡連,電子零組件業,15234048000.0,128.0
6016,康和證,金融業,15139441664.0,19.6
5478,智冠,文化創意業,14832971776.0,99.0
5243,乙盛-KY,電子工業,14712574976.0,87.3
5243,乙盛-KY,光電業,14712574976.0,87.3
9802,鈺齊-KY,其他,14370927616.0,71.5
6125,廣運,電機機械,14167910400.0,54.7
6125,廣運,光電業,14167910400.0,54.7
8462,柏文,運動休閒,14107918336.0,175.5
8462,柏文,觀光餐旅,14107918336.0,175.5
8462,柏文,觀光餐旅,14107918336.0,175.5
6183,關貿,電子工業,14039999488.0,93.6
6183,關貿,電子工業,14039999488.0,93.6
8436,大江,生技醫療業,13827945472.0,125.5
7780,大研生醫*,食品工業,13775147008.0,17.1
7792,安葆,其他電子類,13765289984.0,295.0
2731,雄獅,觀光事業,13665226752.0,146.5
2340,台亞,光電業,13661481984.0,31.2
6535,順藥,生技醫療業,13549603840.0,80.9
8478,東哥遊艇,運動休閒,13438034944.0,143.0
8478,東哥遊艇,其他,13438034944.0,143.0
5288,豐祥-KY,電機機械,13312455680.0,191.0
6443,元晶,電子工業,13307075584.0,25.95
6443,元晶,電子工業,13307075584.0,25.95
2723,美食-KY,觀光事業,13175999488.0,73.2
8042,金山電,電子零組件業,13095407616.0,99.6
6768,志強-KY,其他,13046194176.0,65.2
6202,盛群,電子工業,12904177664.0,56.1
6202,盛群,電子工業,12904177664.0,56.1
5386,青雲,電腦及週邊設備業,12772631552.0,236.0
6189,豐藝,電子工業,12690030592.0,48.1
6189,豐藝,電子工業,12690030592.0,48.1
9938,百和,其他,12678368256.0,42.55
8936,國統,其他,12676785152.0,51.1
6533,晶心科,電子工業,12662750208.0,250.0
6533,晶心科,電子工業,12662750208.0,250.0
6576,逸達,生技醫療業,12603243520.0,80.0
2753,八方雲集,觀光事業,12529259520.0,188.0
4977,眾達-KY,電子工業,12444820480.0,150.5
4977,眾達-KY,電子工業,12444820480.0,150.5
6829,千附精密,電機機械,12425490432.0,210.0
8908,欣雄,油電燃氣業,12396349440.0,40.0
6209,今國光,電子工業,12191065088.0,69.5
6209,今國光,電子工業,12191065088.0,69.5
6581,鋼聯,綠能環保,12072903680.0,108.5
6581,鋼聯,其他,12072903680.0,108.5
5306,桂盟,其他,12058272768.0,95.7
5306,桂盟,運動休閒,12058272768.0,95.7
6021,美好證,金融業,12005280768.0,38.45
5309,系統電,電子零組件業,11977397248.0,52.4
6245,立端,通信網路業,11933891584.0,81.4
6190,萬泰科,通信網路業,11910836224.0,66.2
6438,迅得,電子工業,11837711360.0,144.0
6438,迅得,電子工業,11837711360.0,144.0
4960,誠美材,電子工業,11823597568.0,20.9
4960,誠美材,電子工業,11823597568.0,20.9
8091,翔名,電子零組件業,11718007808.0,219.5
5508,永信建,建材營造,11697631232.0,53.8
8050,廣積,電腦及週邊設備業,11505464320.0,56.9
8937,合騏*,其他,11276854272.0,26.55
6284,佳邦,電子零組件業,11246505984.0,76.0
5515,建國,建材營造,11229120512.0,55.7
6469,大樹,生技醫療業,11221257216.0,70.6
6192,巨路,電子工業,11202173952.0,116.5
6192,巨路,電子工業,11202173952.0,116.5
5609,中菲行,航運業,11175073792.0,79.4
6175,立敦,電子零組件業,11124025344.0,74.1
8043,蜜望實,電子零組件業,11107073024.0,139.0
6550,北極星藥業-KY,生技醫療業,10961210368.0,12.25
6550,北極星藥業-KY,化學生技醫療,10961210368.0,12.25
8499,鼎炫-KY,其他,10908872704.0,265.0
8499,鼎炫-KY,電子工業,10908872704.0,265.0
8499,鼎炫-KY,電子工業,10908872704.0,265.0
3551,世禾,其他電子類,10742218752.0,174.0
5222,全訊,電子工業,10721552384.0,107.0
5222,全訊,電子工業,10721552384.0,107.0
4989,榮科,電子工業,10694864896.0,61.9
4989,榮科,電子工業,10694864896.0,61.9
6854,錼創科技-KY創,創新版股票,10688547840.0,91.3
6153,嘉聯益,電子零組件業,10624167936.0,16.7
