stock_id,name,industry,market,market_cap,price
6505,台塑化,油電燃氣業,twse,722067797070.9229,75.80000305175781
6446,藥華藥,生技醫療業,twse,579200896400.0,1400.0
6488,環球晶,半導體業,tpex,449905015225.0,941.0
6515,穎崴,電子工業,twse,233246604800.0,6400.0
6415,矽力*-KY,半導體業,twse,173011261500.0,445.5
6531,愛普*,電子工業,twse,144060567000.0,883.0
6442,光聖,電子工業,twse,122381250000.0,1525.0
6187,萬潤,其他電子類,tpex,116350945560.0,1195.0
6285,啟碁,通信網路業,twse,113850440044.5,235.5
8464,億豐,其他,twse,108857004300.0,371.5
6526,達發,半導體業,twse,95813176888.0,572.0
9105,泰金寶-DR,存託憑證,twse,87989024634.29195,8.420000076293945
6409,旭隼,其他電子業,twse,87811735000.0,995.0
6510,精測,半導體業,tpex,87261850000.0,2650.0
3450,聯鈞,其他電子業,twse,80270231000.0,551.0
5904,寶雅,貿易百貨,tpex,79300650370.0,74.5
6949,沛爾生醫-創,創新版股票,twse,75698757750.0,1155.0
9904,寶成,其他,twse,73669675000.0,25.0
9910,豐泰,其他,twse,69518784994.77905,70.4000015258789
8454,富邦媒,貿易百貨,twse,66376306387.5,250.5
3131,弘塑,其他電子類,tpex,65047290000.0,2310.0
6548,長科*,半導體業,tpex,63782110961.55167,69.0999984741211
6414,樺漢,電子工業,twse,58527250725.0,395.0
6472,保瑞,生技醫療業,twse,58036168645.0,455.0
2867,三商壽,金融保險,twse,57225159001.55948,9.699999809265137
2258,鴻華先進-創,創新版股票,twse,55818403200.0,32.0
6451,訊芯-KY,電子工業,twse,44380648400.0,418.0
6584,南俊國際,電子零組件業,tpex,41958980280.0,588.0
9921,巨大,其他,twse,41716987500.0,107.5
5903,全家,貿易百貨,tpex,41518920000.0,186.0
1736,喬山,化學生技醫療,twse,39896392135.5,131.5
6592,和潤企業,其他,twse,39473467869.0,61.5
8932,智通*,其他,tpex,37537886000.0,106.0
6670,復盛應用,其他,twse,37425402250.5,268.5
6176,瑞儀,光電業,twse,37325854580.21267,108.4000015258789
8422,可寧衛,其他,twse,36445975717.803955,26.850000381469727
6290,良維,電子零組件業,tpex,35880975000.0,211.5
