stock_id,name,industry,market_cap,price,roic_3y,roic_latest
6605,帝寶,汽車工業,23463020544.0,141.5,3.37,3.92
6469,大樹,生技醫療業,11221257216.0,70.6,3.36,3.36
5864,致和證,金融業,17304025088.0,34.3,3.36,8.2
6196,帆宣,電子工業,108071641088.0,490.5,3.34,4.71
6196,帆宣,電子工業,108071641088.0,490.5,3.34,4.71
8069,元太,光電業,185325879296.0,160.5,3.29,1.51
6584,南俊國際,電子零組件業,41958977536.0,588.0,3.26,4.78
6189,豐藝,電子工業,12690030592.0,48.1,3.24,4.34
6023,元大期,金融業,31185088512.0,82.8,3.2,3.37
5483,中美晶,半導體業,108094210048.0,176.0,3.13,3.42
9933,中鼎,其他,39749701632.0,42.15,3.1,4.68
6285,啟碁,電子工業,113850433536.0,235.5,3.06,
6285,啟碁,通信網路業,113850433536.0,235.5,3.06,
4966,譜瑞-KY,半導體業,43222360064.0,566.0,3.05,2.45
5478,智冠,文化創意業,14832971776.0,99.0,3.01,3.64
6278,台表科,電子工業,53401964544.0,187.0,2.98,2.89
6278,台表科,電子工業,53401964544.0,187.0,2.98,2.89
6005,群益證,金融保險,75254849536.0,30.65,2.95,3.47
6257,矽格,半導體業,95461097472.0,198.5,2.85,4.07
3551,世禾,其他電子類,10742218752.0,174.0,2.85,2.85
6257,矽格,半導體業,95461097472.0,198.5,2.85,4.07
6191,精成科,電子零組件業,40942845952.0,82.0,2.56,2.57
6191,精成科,電子零組件業,40942845952.0,82.0,2.56,2.57
6579,研揚,電子工業,18600376320.0,148.0,2.55,3.05
6579,研揚,電子工業,18600376320.0,148.0,2.55,3.05
6214,精誠,電子工業,48867631104.0,179.5,2.48,3.69
6214,精誠,電子工業,48867631104.0,179.5,2.48,3.69
9802,鈺齊-KY,其他,14370927616.0,71.5,2.48,2.48
6526,達發,電子工業,95813173248.0,572.0,2.45,2.81
6526,達發,電子工業,95813173248.0,572.0,2.45,2.81
8422,可寧衛,其他,36445974528.0,26.85,2.43,1.87
5443,均豪,光電業,16913189888.0,105.0,2.38,1.47
5443,均豪,半導體業,16913189888.0,105.0,2.38,1.47
6488,環球晶,半導體業,449905033216.0,941.0,2.37,1.66
9941,裕融,其他,49159311360.0,85.4,2.37,2.49
9904,寶成,其他,73669672960.0,25.0,2.25,2.79
6592,和潤企業,其他,39473467392.0,61.5,2.21,2.34
5469,瀚宇博,電子零組件業,34355886080.0,70.7,2.17,2.25
5469,瀚宇博,電子零組件業,34355886080.0,70.7,2.17,2.25
5009,榮剛,鋼鐵工業,19288375296.0,35.2,2.02,1.94
5347,世界,半導體業,284568453120.0,151.5,2.0,2.0
8070,長華*,電子通路業,34371424256.0,48.8,1.92,
8070,長華*,電子通路業,34371424256.0,48.8,1.92,
5243,乙盛-KY,光電業,14712574976.0,87.3,1.78,2.14
5243,乙盛-KY,電子工業,14712574976.0,87.3,1.78,2.14
6147,頎邦,半導體業,116526383104.0,156.5,1.77,1.74
6166,凌華,電腦及週邊設備業,25815345152.0,118.5,1.74,2.26
6166,凌華,電腦及週邊設備業,25815345152.0,118.5,1.74,2.26
8926,台汽電,油電燃氣業,47575158784.0,57.3,1.69,2.04
6271,同欣電,電子工業,40243666944.0,192.5,1.51,1.59
6271,同欣電,電子工業,40243666944.0,192.5,1.51,1.59
9939,宏全,其他,39635386368.0,134.0,1.5,1.53
6213,聯茂,電子零組件業,186507296768.0,513.0,1.46,1.88
6213,聯茂,電子零組件業,186507296768.0,513.0,1.46,1.88
6451,訊芯-KY,電子工業,44380647424.0,418.0,1.44,1.15
6451,訊芯-KY,電子工業,44380647424.0,418.0,1.44,1.15
5871,中租-KY,其他,201622519808.0,115.5,1.43,1.49
9940,信義,其他,15510628352.0,21.05,1.36,0.73
6173,信昌電,電子零組件業,36082401280.0,212.0,1.06,
9945,潤泰新,其他,82896707584.0,29.4,0.92,3.04
5607,遠雄港,航運業,20713908224.0,55.9,0.88,1.24
5371,中光電,光電業,33375647744.0,83.5,0.85,0.75
6505,台塑化,油電燃氣業,722067783680.0,75.8,0.78,1.51
8039,台虹,電子零組件業,74392805376.0,282.0,0.65,1.72
8039,台虹,電子零組件業,74392805376.0,282.0,0.65,1.72
6282,康舒,電子零組件業,37885542400.0,44.25,0.61,1.62
6282,康舒,電子工業,37885542400.0,44.25,0.61,1.62
6182,合晶,半導體業,66282401792.0,106.0,0.59,0.86
8027,鈦昇,電機機械,18084700160.0,168.5,0.51,2.01
8937,合騏*,其他,11276854272.0,26.55,0.33,
4991,環宇-KY,半導體業,58293981184.0,481.0,0.13,2.06
8033,雷虎,其他,30538823680.0,185.5,0.09,-1.68
8478,東哥遊艇,其他,13438034944.0,143.0,-0.36,1.96
6533,晶心科,電子工業,12662750208.0,250.0,-0.49,-0.49
6456,GIS-KY,光電業,22454403072.0,68.0,-0.66,-0.36
6456,GIS-KY,電子工業,22454403072.0,68.0,-0.66,-0.36
9921,巨大,其他,41716985856.0,107.5,-0.77,
4960,誠美材,電子工業,11823597568.0,20.9,-1.71,-2.64
2340,台亞,光電業,13661481984.0,31.2,-1.99,-3.24
6269,台郡,電子零組件業,20001134592.0,62.4,-2.16,-2.17
6269,台郡,電子零組件業,20001134592.0,62.4,-2.16,-2.17
5351,鈺創,半導體業,40063066112.0,123.0,-2.67,1.09
6116,彩晶,電子工業,39449440256.0,13.8,-3.36,-2.26
6116,彩晶,電子工業,39449440256.0,13.8,-3.36,-2.26
5475,德宏,電子零組件業,22183663616.0,174.5,-3.49,1.29
4989,榮科,電子工業,10694864896.0,61.9,-3.95,-1.13
4989,榮科,電子工業,10694864896.0,61.9,-3.95,-1.13
9914,美利達,其他,26250797056.0,87.8,-5.11,-1.43
